acs_chars		acsc	ac	graphic charset paris aAbBcC
set_tab			hts	st	set a tab in all rows at the current column
set_tb_margin		smgtb	MT	sets both top and bottom margins
seT_top_margin		smgt	Zo	set top margin at current line
set_top_margin_parm	smgtp	Zp	set top (bottom) margin at line #1 (#2)
set_window		wind	wi	current window is lines #1-#2, columns #3-#4
start_bit_image		sbim	Zq	start printing bit image graphics
start_char_set_def	scsd	Zr	start definition of a character set
stop_bit_image		rbim	Zs	end printing bit image graphics
stop_char_set_def	rcsd	Zt	end definition of a character set
subscript_characters	subcs	Zu	list of "subscriptable" characters
superscript_characters	supcs	Zv	list of "superscriptable" characters
tab			ht	ta	tab to next 8-space hardware tab stop
these_cause_cr		docr	Zw	printing any of these characters causes TERMCAP(cr)
to_status_line		tsl	ts	go to status line, col #1
tone			tone	TO	select touch tone dialing
user0			u0	u0	user string 0
user1			u1	u1	user string 1
user2			u2	u2	user string 2
user3			u3	u3	user string 3
user4			u4	u4	user string 4
user5			u5	u5	user string 5
user6			u6	u6	user string 6
user7			u7	u7	user string 7
user8			u8	u8	user string 8
user9			u9	u9	user string 9
underline_char		uc	uc	underscore one character and move past it
up_half_line		hu	hu	half-line up (reverse 1/2 linefeed)
wait_tone		wait	WA	wait for dial tone
xoff_character		xoffc	XF	x-off character
xon_character		xonc	XN	x-on character
zero_motion		zerom	Zx	no motion for the subsequent character
